name,stars,count_reviews,coordinate,latitude,longitude,category
Halte Busway Bandengan Pekojan,4.4,8,"-6.1363063,106.8009108,17",-6.1363063,106.8009108,bus_station
Halte Busway Bank Indonesia,3.3,4,"-6.208428,106.7824432,15",-6.208428,106.7824432,bus_station
Halte Busway Bendungan Hilir,4.5,327,"-6.2170115,106.8126941,17",-6.2170115,106.8126941,bus_station
Halte Busway Bermis,3.9,32,"-6.1781917,106.8959188,17",-6.1781917,106.8959188,bus_station
Halte Busway Bidara Cina,3.1,27,"-6.2308916,106.8653037,17",-6.2308916,106.8653037,bus_station
Halte Busway Buaran,4.0,40,"-6.2165363,106.9154375,16",-6.2165363,106.9154375,bus_station
Halte Busway Budi Utomo,4.6,5,"-6.1671,106.8354651,17",-6.1671,106.8354651,bus_station
Halte Busway Buncit Indah,4.2,49,"-6.274338,106.8277305,17",-6.274338,106.8277305,bus_station
Halte Busway Bundaran HI,4.8,633,"-6.19302,106.8204251,17",-6.19302,106.8204251,bus_station
Halte Busway Bundaran Senayan,4.0,83,"-6.2263309,106.797724,16",-6.2263309,106.797724,bus_station
Halte Busway CSW,4.6,82,"-6.2399,106.7959151,17",-6.2399,106.7959151,bus_station
Halte Busway Cawang Ciliwung,4.4,24,"-6.242046,106.8611266,17",-6.242046,106.8611266,bus_station
Halte Busway Cawang Otista,4.5,11,"-6.2318333,106.8658624,17",-6.2318333,106.8658624,bus_station
Halte Busway Cawang Sutoyo,4.1,43,"-6.24477,106.8734051,17",-6.24477,106.8734051,bus_station
Halte Busway Cawang UKI,4.2,75,"-6.2502247,106.8711252,17",-6.2502247,106.8711252,bus_station
Halte Busway Cempaka Mas 2,3.9,68,"-6.1662652,106.8753692,17",-6.1662652,106.8753692,bus_station
Halte Busway Cempaka Putih,4.2,29,"-6.1741826,106.8738911,17",-6.1741826,106.8738911,bus_station
Halte Busway Cempaka Tengah,4.3,26,"-6.1703798,106.8640694,17",-6.1703798,106.8640694,bus_station
Halte Busway Cempaka Timur,4.3,43,"-6.1703639,106.8710945,16",-6.1703639,106.8710945,bus_station
Halte Busway Cikoko Stasiun Cawang,4.0,86,"-6.2435186,106.8566935,17",-6.2435186,106.8566935,bus_station
Halte Busway Cipinang,3.0,5,"-6.2084024,106.6279276,11",-6.2084024,106.6279276,bus_station
Halte Busway Cipinang Kebon Nanas,3.9,12,"-6.2316519,106.8737886,17",-6.2316519,106.8737886,bus_station
Halte Busway Cipulir,3.0,5,"-6.2084263,106.751543,13",-6.2084263,106.751543,bus_station
Halte Busway Danau Agung,4.1,18,"-6.14687,106.8554751,17",-6.14687,106.8554751,bus_station
Halte Busway Departemen Kesehatan,4.0,63,"-6.22829,106.8307651,17",-6.22829,106.8307651,bus_station
Halte Busway Departemen Pertanian,4.3,107,"-6.29459,106.8195651,17",-6.29459,106.8195651,bus_station
Halte Busway Deplu,4.3,10,"-6.1734974,106.8321304,17",-6.1734974,106.8321304,bus_station
Halte Busway Dispenda Samsat Barat,4.1,92,"-6.1546121,106.7355053,17",-6.1546121,106.7355053,bus_station
Halte Busway Dukuh Atas 1,4.5,228,"-6.208428,106.7824432,15",-6.208428,106.7824432,bus_station
Halte Busway Duren Tiga,4.4,14,"-6.2519478,106.8243338,17",-6.2519478,106.8243338,bus_station
Halte Busway Duri Kepa,4.6,28,"-6.1855168,106.7659337,17",-6.1855168,106.7659337,bus_station
