,name,stars,count_reviews,coordinate
273,Halte Busway Permai Koja,4.9,14,"-6.1139823,106.8908475,17"
274,Halte Busway Permata Hijau,4.9,11,"-6.2212643,106.780374,17"
275,Halte Busway Permata Hijau RS Medika,4.3,70,"-6.2214054,106.7806901,17"
276,Halte Busway Perumnas Klender,4.1,91,"-6.21669,106.9279571,17"
277,Halte Busway Pesakih,4.5,45,"-6.1545681,106.7127811,17"
278,Halte Busway Petojo,3.9,35,"-6.16998,106.8144051,17"
279,Halte Busway Pluit Landmark Auto Plaza,3.8,17,"-6.1252839,106.7971445,17"
280,Halte Busway Plumpang Pertamina,4.4,39,"-6.1279726,106.8914595,17"
281,Halte Busway Polda Metro Jaya,4.8,10,"-6.2216452,106.807402,17"
282,Halte Busway Pondok Indah 1,4.1,23,"-6.2867886,106.7774109,17"
283,Halte Busway Pondok Indah 2,4.4,348,"-6.2656097,106.7805568,17"
284,Halte Busway Pondok Pinang,4.1,124,"-6.28213,106.7694751,17"
285,Halte Busway Pos Pengumben,3.0,5,"-6.214157,106.7707603,17"
286,Halte Busway Pramuka BPKP,3.0,5,"-6.1922073,106.8661483,16"
287,Halte Busway Pramuka LIA,4.4,63,"-6.1922306,106.8660105,17"
288,Halte Busway Pulomas,4.4,101,"-6.1745411,106.8899886,17"
289,Halte Busway Pulomas Bypass,4.4,101,"-6.1745411,106.8899886,17"
290,Halte Busway Puri Beta 1,4.8,5,"-6.230436,106.7233905,17"
291,Halte Busway Puri Beta 2,4.2,132,"-6.23052,106.7210651,17"
292,Halte Busway RS Harapan Bunda,4.1,1814,"-6.3028686,106.8651347,17"
293,Halte Busway RS Harapan Kita,4.4,35,"-6.1851678,106.7952637,17"
294,Halte Busway RS Islam,4.4,49,"-6.1686384,106.8677758,17"
295,Halte Busway RS Tarakan,3.6,95,"-6.17114,106.8075251,17"
296,Halte Busway RSPAD,3.4,5,"-6.1746642,106.8352094,17"
297,Halte Busway Rawa Barat,4.5,21,"-6.23895,106.8136651,17"
298,Halte Busway Rawa Buaya,4.3,153,"-6.15392,106.7236151,17"
299,Halte Busway Rawa Selatan,3.9,47,"-6.1739238,106.8555152,17"
300,Halte Busway S. Parman Podomoro City,4.1,86,"-6.1754972,106.7896274,17"
301,Halte Busway SMK 57,4.3,84,"-6.2909505,106.8210767,17"
302,Halte Busway SMP 140,3.8,33,"-6.13978,106.8566251,17"
303,Halte Busway Salemba Carolus,4.4,53,"-6.1966818,106.8483642,17"
304,Halte Busway Salemba UI,4.3,107,"-6.1932463,106.8462644,17"
305,Halte Busway Sarinah,4.5,90,"-6.188186,106.820399,17"
306,Halte Busway Sawah Besar,4.5,47,"-6.16012,106.8168851,17"
307,Halte Busway Semanggi,4.5,26,"-6.2158244,106.8136552,17"
308,Halte Busway Senayan JCC,3.9,63,"-6.2141628,106.8064411,17"
309,Halte Busway Senen,4.4,640,"-6.1781997,106.83953,17"
310,Halte Busway Senen Sentral,4.4,640,"-6.1781997,106.83953,17"
311,Halte Busway Seskoal,4.2,10,"-6.2380782,106.7687807,17"
312,Halte Busway Setiabudi,3.0,5,"-6.2084263,106.751543,13"
313,Halte Busway Setiabudi Utara AINI,4.3,20,"-6.208428,106.7824432,15"
314,Halte Busway Simprug,4.6,30,"-6.2339253,106.7839041,17"
315,Halte Busway Slamet Riyadi,4.6,36,"-6.20853,106.8567151,17"
316,Halte Busway Slipi Kemanggisan,4.5,23,"-6.1898772,106.7943931,17"
317,Halte Busway Slipi Petamburan,4.2,135,"-6.20197,106.7972951,17"
