,name,url,stars,count_reviews
45,Kuningan City,"https://www.google.com/maps/place/Kuningan+City/@-6.208428,106.7824432,15z/data=!3m1!5s0x2e69f3fa7f0cf71d:0x394be172b9c690ad!4m6!3m5!1s0x2e69f324565947e9:0x420d8f1dfd4d9452!8m2!3d-6.2250136!4d106.829553!16s%2Fm%2F0w7nh3f","Bintang 4,4",34.569 ulasan
46,Lippo Mall Kemang,"https://www.google.com/maps/place/Lippo+Mall+Kemang/@-6.2612579,106.8102851,17z/data=!3m2!4b1!5s0x2e69f18178f71fa5:0x4b3a2055b5b3b280!4m6!3m5!1s0x2e69f14d3d73e311:0x7b35536a57b28499!8m2!3d-6.2612579!4d106.81286!16s%2Fg%2F11fnv0ckbl","Bintang 4,6",10.002 ulasan
47,Lotte Shopping Avenue,"https://www.google.com/maps/place/Lotte+Mall+Jakarta/@-6.2244656,106.8202994,17z/data=!3m2!4b1!5s0x2e69f3fc774c6ee7:0x8d603b95ec321e0d!4m6!3m5!1s0x2e69f35c26dce239:0xe8323175da8b9770!8m2!3d-6.2244656!4d106.8228743!16s%2Fg%2F1pp2tjqtn","Bintang 4,6",45.299 ulasan
48,Mall Ambasador,"https://www.google.com/maps/place/Mall+Ambasador/@-6.2233862,106.8240171,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f3fbe9c12797:0xffae3870f7ae2fd!8m2!3d-6.2233862!4d106.826592!16s%2Fg%2F11fy93n5dy","Bintang 4,4",34.954 ulasan
49,Mall Metro Cipulir,"https://www.google.com/maps/place/Mall+Metro+Cipulir/@-6.2384832,106.7615083,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1343113be67:0xd4d9909f1fb9456f!8m2!3d-6.2384832!4d106.7640832!16s%2Fg%2F11g1lm9ynk","Bintang 4,4",471 ulasan
50,One Belpark Mall,"https://www.google.com/maps/place/One+Belpark+Mall/@-6.304598,106.792448,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ee1f4549645d:0x50cd4b3afac2371!8m2!3d-6.304598!4d106.7950229!16s%2Fg%2F11g9g01y62","Bintang 4,4",15.320 ulasan
51,Pacific Place,"https://www.google.com/maps/place/Pacific+Place+Mall/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f151104aee2b:0xc4a608b34b5f03cc!8m2!3d-6.2246324!4d106.8103687!16s%2Fm%2F04zwlyh","Bintang 4,7",45.260 ulasan
52,Pasaraya Blok M,"https://www.google.com/maps/place/Pasaraya+blok+M+gold/@-6.2437698,106.7975297,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1b22db5aad7:0x4953cd4dd3f9c1f4!8m2!3d-6.2437698!4d106.8001046!16s%2Fg%2F11jcllkrv0","Bintang 5,0",1 ulasan
53,Pejaten Village,"https://www.google.com/maps/place/Pejaten+Village+Mal/@-6.2803107,106.8263427,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f3fc36583b09:0x38c3bc139912b75f!8m2!3d-6.2803107!4d106.8289176!16s%2Fg%2F11smkt1mdk","Bintang 4,6",2.504 ulasan
54,Plaza Festival Mall Kuningan,"https://www.google.com/maps/place/Plaza+Festival+Mall+Kuningan/@-6.2210778,106.8298362,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f3f6ddce3efd:0xea6830e6c82c7a18!8m2!3d-6.2210778!4d106.8324111!16s%2Fg%2F122vlr3y","Bintang 4,4",24.027 ulasan
